,match_id,possession_team
0,3895302,Werder Bremen
1,3895292,Union Berlin
2,3895333,Eintracht Frankfurt
3,3895340,Bochum
4,3895348,Augsburg
5,3895286,Hoffenheim
6,3895220,Darmstadt 98
7,3895250,FSV Mainz 05
8,3895266,Wolfsburg
9,3895275,Freiburg
10,3895180,Eintracht Frankfurt
11,3895134,Hoffenheim
12,3895121,Freiburg
13,3895107,FC Köln
14,3895074,Bayern Munich
15,3895139,Union Berlin
16,3895086,FC Heidenheim
17,3895320,VfB Stuttgart
18,3895309,Borussia Dortmund
19,3895258,FC Köln
20,3895244,FC Heidenheim
21,3895232,Bayern Munich
22,3895210,Borussia Mönchengladbach
23,3895202,RB Leipzig
24,3895194,Augsburg
25,3895182,Bochum
26,3895167,VfB Stuttgart
27,3895158,Borussia Dortmund
28,3895153,Werder Bremen
29,3895113,Wolfsburg
30,3895095,FSV Mainz 05
31,3895067,Darmstadt 98
32,3895060,Borussia Mönchengladbach
33,3895052,RB Leipzig
